B0261.2a.1	5245904,5246060,5246408,5246782,5247043,5247148,5247371,5247624,5247968,5248689,5248916,5249723,5250999,5251665,5252316,5252950,5253380,5253825,5254579,5255232,5255435,5257589,5258561,5258751,5259859,5260380,5260637,5260851,5261618,5262328,5262650	5245958,5246112,5246451,5246830,5247086,5247197,5247509,5247669,5248574,5248737,5249351,5250854,5251049,5252147,5252363,5253194,5253426,5254162,5255140,5255277,5257087,5258354,5258607,5259295,5260283,5260435,5260685,5261081,5262188,5262381,5262850
B0261.2b.1	5245904,5246060,5246408,5246782,5247043,5247148,5247371,5247624,5247968,5248689,5248916,5249723,5250999,5251665,5252316,5252950,5253380,5253825,5254579,5255232,5255435,5257589,5258561,5258751,5259859,5260380,5260637,5260851,5261618,5262328,5262650	5245958,5246112,5246451,5246830,5247086,5247197,5247509,5247669,5248574,5248737,5249351,5250854,5251049,5252147,5252363,5253194,5253426,5254162,5255140,5255277,5257087,5258354,5258607,5259304,5260283,5260435,5260685,5261081,5262188,5262381,5262850
B0261.4a.1	5244488,5244707,5244863,5245028	5244541,5244756,5244905,5245075
B0261.4b.1	5244488,5244707,5244863,5245028	5244541,5244756,5244905,5245075
B0261.5.1	5249892	5249951
B0261.6a.1	5255783,5256581	5256422,5256822
B0261.6b.1	5255783	5256422
B0261.7.1	5269657,5269901,5270169,5270357,5270526	5269703,5269952,5270209,5270402,5270571
B0261.8.1	5271522,5271920	5271577,5271976
B0261.9.1	5268567,5269270	5269060,5269316
B0379.1a.1	10075027,10075375,10075850,10077235,10077392	10075270,10075714,10077144,10077289,10077435
B0379.2.1	10071005,10071100,10071621,10071736	10071049,10071143,10071666,10071783
B0379.3a.1	10080402,10080569,10080790,10080961,10081805,10081978,10082136,10082646,10083154,10083265,10083388,10084042,10085074	10080445,10080609,10080835,10081412,10081854,10082022,10082215,10082844,10083203,10083314,10083922,10084349,10085366
B0379.3b.1	10080402,10080569,10080790,10080961,10081805,10081978,10082136,10082646,10083154,10083265,10083388,10084042,10085074	10080445,10080621,10080835,10081412,10081854,10082022,10082215,10082844,10083203,10083314,10083922,10084349,10085366
